value,language,step
812574,Python,1
795962,Java,2
753010,JavaScript,3
710853,C++,4
165880,C#,5
139942,MATLAB,6
138097,R,7
62475,PHP,8
31207,Ruby,9
19746,Swift,10
11535,SAS,11
10825,Kotlin,12
10528,Objective-C,13
6046,SPSS,14
3677,Fortran,15
1777,Julia,16
1630,Dart,17
