value,language,step
815590,Java,1
797998,Python,2
737616,JavaScript,3
705231,C++,4
166938,C#,5
139373,R,6
136806,MATLAB,7
61140,PHP,8
32835,Ruby,9
19316,Swift,10
11979,SAS,11
10506,Kotlin,12
10350,Objective-C,13
5436,SPSS,14
3638,Fortran,15
1754,Julia,16
1571,Dart,17
