value,language,step
807813,Java,1
793826,Python,2
742123,JavaScript,3
710853,C++,4
162408,C#,5
141126,R,6
138359,MATLAB,7
60945,PHP,8
31228,Ruby,9
19098,Swift,10
11996,SAS,11
10835,Objective-C,12
10438,Kotlin,13
5433,SPSS,14
3603,Fortran,15
1647,Julia,16
1572,Dart,17
