date,language,percent
2010-03-01,Julia,0.0
2010-03-01,Scala,0.6640926640926641
2010-03-01,Python,8.162162162162161
2010-03-01,R,0.11583011583011582
2010-03-01,MATLAB,0.04633204633204633
2010-03-01,Fortran,0.03088803088803089
2010-04-01,Julia,0.0
2010-04-01,Scala,0.7383169729004111
2010-04-01,Python,9.262522023659702
2010-04-01,R,0.08389965601141035
2010-04-01,MATLAB,0.01677993120228207
2010-04-01,Fortran,0.05033979360684621
2010-05-01,Julia,0.0
2010-05-01,Scala,0.7284500202347227
2010-05-01,Python,8.814245244840144
2010-05-01,R,0.10522055847834884
2010-05-01,MATLAB,0.024281667341157425
2010-05-01,Fortran,0.04046944556859571
2010-06-01,Julia,0.0
2010-06-01,Scala,0.590876861262113
2010-06-01,Python,9.036476798235247
2010-06-01,R,0.1339320885527456
2010-06-01,MATLAB,0.03151343260064603
2010-06-01,Fortran,0.02363507445048452
2010-07-01,Julia,0.0
2010-07-01,Scala,0.8382108533853603
2010-07-01,Python,8.866247561239975
2010-07-01,R,0.11561529012211866
2010-07-01,MATLAB,0.05780764506105933
2010-07-01,Fortran,0.021677866897897247
2010-08-01,Julia,0.0
2010-08-01,Scala,0.8953877866529245
2010-08-01,Python,9.456325689255346
2010-08-01,R,0.1030662200463798
2010-08-01,MATLAB,0.05797474877608864
2010-08-01,Fortran,0.03220819376449369
2010-09-01,Julia,0.0
2010-09-01,Scala,0.6377111340916926
2010-09-01,Python,8.531540847983454
2010-09-01,R,0.1608640698609675
2010-09-01,MATLAB,0.0574514535217741
2010-09-01,Fortran,0.07468688957830633
2010-10-01,Julia,0.0
2010-10-01,Scala,0.5818786367414797
2010-10-01,Python,7.297545609660061
2010-10-01,R,0.14437590234938968
2010-10-01,MATLAB,0.056875355470971695
2010-10-01,Fortran,0.03500021875136719
2010-11-01,Julia,0.0
2010-11-01,Scala,0.5958879184861717
2010-11-01,Python,8.360625909752548
2010-11-01,R,0.2046943231441048
2010-11-01,MATLAB,0.04093886462882096
2010-11-01,Fortran,0.06368267831149928
2010-12-01,Julia,0.0
2010-12-01,Scala,0.79671771384953
2010-12-01,Python,9.05014073756023
2010-12-01,R,0.18128906063642
2010-12-01,MATLAB,0.033395353275130005
2010-12-01,Fortran,0.033395353275130005
2011-01-01,Julia,0.0
2011-01-01,Scala,0.691851094775738
2011-01-01,Python,7.65753370808601
2011-01-01,R,0.1533079130468965
2011-01-01,MATLAB,0.06682652619992924
2011-01-01,Fortran,0.02751680490585322
2011-02-01,Julia,0.0
2011-02-01,Scala,0.6849811539576689
2011-02-01,Python,8.096549724557843
2011-02-01,R,0.19570890113076253
2011-02-01,MATLAB,0.04711510582777617
2011-02-01,Fortran,0.028993911278631487
2011-03-01,Julia,0.0
2011-03-01,Scala,0.7489917418859228
2011-03-01,Python,8.322130465399143
2011-03-01,R,0.15684015107867616
2011-03-01,MATLAB,0.05441392996607131
2011-03-01,Fortran,0.07041802701491581
2011-04-01,Julia,0.0031289111389236545
2011-04-01,Scala,0.7071339173967459
2011-04-01,Python,8.391739674593241
2011-04-01,R,0.172090112640801
2011-04-01,MATLAB,0.08448060075093868
2011-04-01,Fortran,0.0625782227784731
2011-05-01,Julia,0.0
2011-05-01,Scala,0.6605373560653396
2011-05-01,Python,7.9383498467672355
2011-05-01,R,0.16364664226844
2011-05-01,MATLAB,0.06248326341158618
2011-05-01,Fortran,0.041655508941057455
2011-06-01,Julia,0.0
2011-06-01,Scala,0.6615462241408309
2011-06-01,Python,7.918932555923082
2011-06-01,R,0.14296126030162024
2011-06-01,MATLAB,0.06447272523406403
2011-06-01,Fortran,0.03644110556707967
2011-07-01,Julia,0.0
2011-07-01,Scala,0.630375703919536
2011-07-01,Python,8.679573025523212
2011-07-01,R,0.1933152158686577
2011-07-01,MATLAB,0.12047180119351134
2011-07-01,Fortran,0.03922337713277113
2011-08-01,Julia,0.0
2011-08-01,Scala,0.5799052476247185
2011-08-01,Python,8.310249307479225
2011-08-01,R,0.14238744919356927
2011-08-01,MATLAB,0.12167654749268646
2011-08-01,Fortran,0.02847748983871385
2011-09-01,Julia,0.0023225027289407066
2011-09-01,Scala,0.6944283159532713
2011-09-01,Python,8.27739972594468
2011-09-01,R,0.17883271012843438
2011-09-01,MATLAB,0.17883271012843438
2011-09-01,Fortran,0.053417562765636244
2011-10-01,Julia,0.0
2011-10-01,Scala,0.7136811766589656
2011-10-01,Python,8.044925315094813
2011-10-01,R,0.19443237184619255
2011-10-01,MATLAB,0.3362536313104742
2011-10-01,Fortran,0.036599034700459776
2011-11-01,Julia,0.0021398613369853635
2011-11-01,Scala,0.6911752118462723
2011-11-01,Python,7.716339981169221
2011-11-01,R,0.2460840537533168
2011-11-01,MATLAB,0.30600017118890693
2011-11-01,Fortran,0.0406573654027219
2011-12-01,Julia,0.0
2011-12-01,Scala,0.6666666666666667
2011-12-01,Python,7.874587458745874
2011-12-01,R,0.18921892189218922
2011-12-01,MATLAB,0.2112211221122112
2011-12-01,Fortran,0.0374037403740374
2012-01-01,Julia,0.0
2012-01-01,Scala,0.6464646464646464
2012-01-01,Python,7.60514233241506
2012-01-01,R,0.23140495867768596
2012-01-01,MATLAB,0.20385674931129477
2012-01-01,Fortran,0.04224058769513315
2012-02-01,Julia,0.004834343173907438
2012-02-01,Scala,0.610738687636973
2012-02-01,Python,7.457780069614542
2012-02-01,R,0.22399123372437799
2012-02-01,MATLAB,0.20465386102874822
2012-02-01,Fortran,0.037063297666623696
2012-03-01,Julia,0.005806948013297911
2012-03-01,Scala,0.6329573334494722
2012-03-01,Python,7.6259744784634815
2012-03-01,R,0.20614665447207586
2012-03-01,MATLAB,0.24969876457181017
2012-03-01,Fortran,0.052262532119681196
2012-04-01,Julia,0.018865734022174493
2012-04-01,Scala,0.6356301155163406
2012-04-01,Python,7.379404423289023
2012-04-01,R,0.26702269692923897
2012-04-01,MATLAB,0.2626690660010449
2012-04-01,Fortran,0.03918267835374703
2012-05-01,Julia,0.013962970203021586
2012-05-01,Scala,0.7204892624759138
2012-05-01,Python,7.157418526068865
2012-05-01,R,0.2262001172889497
2012-05-01,MATLAB,0.24435197855287777
2012-05-01,Fortran,0.06283336591359714
2012-06-01,Julia,0.009632585661208202
2012-06-01,Scala,0.4926379523875052
2012-06-01,Python,6.996009357368928
2012-06-01,R,0.21054080088069357
2012-06-01,MATLAB,0.18026696023118208
2012-06-01,Fortran,0.04541076097426724
2012-07-01,Julia,0.002844896256116527
2012-07-01,Scala,0.38216439707165345
2012-07-01,Python,5.254523385047225
2012-07-01,R,0.174486970375147
2012-07-01,MATLAB,0.11664074650077762
2012-07-01,Fortran,0.02844896256116527
2012-08-01,Julia,0.014117813150742951
2012-08-01,Scala,0.4882410381298603
2012-08-01,Python,6.870669066694902
2012-08-01,R,0.25529712114260167
2012-08-01,MATLAB,0.15059000694125813
2012-08-01,Fortran,0.035294532876857375
2012-09-01,Julia,0.012205947625388371
2012-09-01,Scala,0.5004438526409232
2012-09-01,Python,6.7265867731913005
2012-09-01,R,0.24411895250776744
2012-09-01,MATLAB,0.20639147802929428
2012-09-01,Fortran,0.04105636928539724
2012-10-01,Julia,0.01608766832905906
2012-10-01,Scala,0.4542400469381382
2012-10-01,Python,6.405730995258869
2012-10-01,R,0.2592953601271872
2012-10-01,MATLAB,0.1779106850507708
2012-10-01,Fortran,0.04353133783157158
2012-11-01,Julia,0.02432717345274672
2012-11-01,Scala,0.5135736617802085
2012-11-01,Python,6.295331885716345
2012-11-01,R,0.2216475803472479
2012-11-01,MATLAB,0.16128014992746897
2012-11-01,Fortran,0.03874327623955959
2012-12-01,Julia,0.041507308251059916
2012-12-01,Scala,0.5405832765078518
2012-12-01,Python,6.448456817575381
2012-12-01,R,0.23916115706563096
2012-12-01,MATLAB,0.14033423265834544
2012-12-01,Fortran,0.043483846739205634
2013-01-01,Julia,0.02130962890803373
2013-01-01,Scala,0.5137142683186703
2013-01-01,Python,6.35559682182106
2013-01-01,R,0.2732198849280039
2013-01-01,MATLAB,0.1453621114798015
2013-01-01,Fortran,0.044902432341928214
2013-02-01,Julia,0.024251242876197406
2013-02-01,Scala,0.5183703164787196
2013-02-01,Python,6.472050442585182
2013-02-01,R,0.2948041712137747
2013-02-01,MATLAB,0.17430580817266886
2013-02-01,Fortran,0.029556202255365586
2013-03-01,Julia,0.0331615733891128
2013-03-01,Scala,0.46171113718687823
2013-03-01,Python,6.402734554359471
2013-03-01,R,0.2474363552879955
2013-03-01,MATLAB,0.248711800418346
2013-03-01,Fortran,0.04591602469261772
2013-04-01,Julia,0.032105962266051405
2013-04-01,Scala,0.4689988605531039
2013-04-01,Python,6.2449244250829405
2013-04-01,R,0.2436275960188607
2013-04-01,MATLAB,0.28769460305069594
2013-04-01,Fortran,0.04469653570371862
2013-05-01,Julia,0.021962121799343717
2013-05-01,Scala,0.44505593881611244
2013-05-01,Python,6.2611425470893725
2013-05-01,R,0.30359403663798673
2013-05-01,MATLAB,0.3048859261555952
2013-05-01,Fortran,0.060072862568793114
2013-06-01,Julia,0.024014381183703155
2013-06-01,Scala,0.506360380387798
2013-06-01,Python,6.387825394865039
2013-06-01,R,0.28199744761434276
2013-06-01,MATLAB,0.25249406501722177
2013-06-01,Fortran,0.06312351625430544
2013-07-01,Julia,0.029410844466693783
2013-07-01,Scala,0.4411626670004067
2013-07-01,Python,6.387785113106599
2013-07-01,R,0.3003660711492131
2013-07-01,MATLAB,0.24154438221582553
2013-07-01,Fortran,0.048809486561747134
2013-08-01,Julia,0.02423766008319413
2013-08-01,Scala,0.449379319380302
2013-08-01,Python,6.169467099014117
2013-08-01,R,0.3046084307752776
2013-08-01,MATLAB,0.20110707150109725
2013-08-01,Fortran,0.05961154236677475
2013-09-01,Julia,0.028937452901281083
2013-09-01,Scala,0.5051996985681989
2013-09-01,Python,6.237829691032404
2013-09-01,R,0.30324039186134133
2013-09-01,MATLAB,0.24174830444611906
2013-09-01,Fortran,0.04340617935192163
2013-10-01,Julia,0.022475316353144717
2013-10-01,Scala,0.4871394149100203
2013-10-01,Python,6.196392450384432
2013-10-01,R,0.33190292754062545
2013-10-01,MATLAB,0.3031554298796264
2013-10-01,Fortran,0.05435890466807093
2013-11-01,Julia,0.021539156610682373
2013-11-01,Scala,0.4675573020367637
2013-11-01,Python,5.920115996238528
2013-11-01,R,0.3551334114346654
2013-11-01,MATLAB,0.29787077556724156
2013-11-01,Fortran,0.04412900378773949
2013-12-01,Julia,0.032680862774777254
2013-12-01,Scala,0.44205167016409236
2013-12-01,Python,6.07290699141124
2013-12-01,R,0.3027279920189893
2013-12-01,MATLAB,0.2539933720916899
2013-12-01,Fortran,0.04128108982077127
2014-01-01,Julia,0.03415154749199573
